instruction,response
Hello!,Namaste! How can I assist you today?
What is ASI?,"Artificial Super Intelligence (ASI) refers to an AI system surpassing human intelligence in all aspects, including reasoning, problem-solving, and creativity."
Tell me about Decima Technologies.,"Decima Technologies is a cutting-edge AI company developing advanced solutions like MicroAID, a clinical decision-making tool powered by image analysis and computer vision."
Who is the founder of Decima Technologies?,"Decima Technologies was founded by Dr. Yuvraj Kumar, an innovator in AI and computer vision, specializing in medical diagnostics and artificial intelligence research."
What is the capital of India?,The capital of India is New Delhi.
Who was the first Prime Minister of India?,"The first Prime Minister of India was Pandit Jawaharlal Nehru, who served from 1947 to 1964."
What is the national animal of India?,The national animal of India is the Bengal Tiger.
Who wrote the Indian national anthem?,The Indian national anthem 'Jana Gana Mana' was written by Rabindranath Tagore.
What is the currency of India?,"The currency of India is the Indian Rupee (INR), symbolized as ₹."
Tell me about ISRO.,"The Indian Space Research Organisation (ISRO) is India's national space agency, known for successful missions like Chandrayaan, Mangalyaan, and Gaganyaan."
What was India's first satellite?,"India's first satellite was Aryabhata, launched in 1975."
Who was APJ Abdul Kalam?,"Dr. APJ Abdul Kalam, also known as the 'Missile Man of India,' was a scientist and the 11th President of India."
Tell me about the Taj Mahal.,"The Taj Mahal, located in Agra, was built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal."
What are the official languages of India?,"India has 22 official languages, with Hindi and English being the most widely used for government purposes."
What is the significance of Diwali?,"Diwali, the Festival of Lights, signifies the victory of light over darkness and good over evil."
What is Yoga?,"Yoga is an ancient Indian practice that unites body and mind through physical postures, meditation, and breathing exercises."
What is UPI?,Unified Payments Interface (UPI) is India's real-time payment system that enables instant money transfers between banks.
What are India's major IT hubs?,"Bengaluru, Hyderabad, and Pune are India's major IT hubs, hosting leading technology companies and startups."
What is Make in India?,"'Make in India' is an initiative launched by the Indian government to boost manufacturing, attract investment, and generate employment."
What is Digital India?,'Digital India' is a government initiative aimed at transforming India into a digitally empowered society and knowledge economy.
Who is the current Prime Minister of India?,"As of 2025, the current Prime Minister of India is Narendra Modi."
What is GST?,Goods and Services Tax (GST) is a unified tax system in India that replaced multiple indirect taxes.
What is BharatwASI?,"BharatwASI is an Artificial Super Intelligence chatbot designed to provide information and intelligent assistance on Indian culture, technology, history, and more."
What are India's major industries?,"India's major industries include IT, pharmaceuticals, textiles, agriculture, and automobile manufacturing."
Tell me a fun fact about India.,India is the world's largest democracy with over 1.4 billion people!
Which Indian movie won an Oscar?,"'RRR' won an Oscar for Best Original Song, and 'Slumdog Millionaire' won multiple Academy Awards."
